longitude,latitude,dist,latlon
113.972565416,22.5403906266,南山区,"113.972565416,22.5403906266"
113.983945638,22.5532445864,南山区,"113.983945638,22.5532445864"
113.975133,22.58297,南山区,"113.975133,22.58297"
113.906502,22.488927,南山区,"113.906502,22.488927"
113.908692,22.725392,光明区,"113.908692,22.725392"
113.991743,22.593965,南山区,"113.991743,22.593965"
114.034306,22.655875,龙华区,"114.034306,22.655875"
113.983945638,22.5532445864,南山区,"113.983945638,22.5532445864"
114.087504,22.657009,龙岗区,"114.087504,22.657009"
113.971732475,22.5330485224,南山区,"113.971732475,22.5330485224"
113.844313,22.733567,宝安区,"113.844313,22.733567"
113.808115,22.68409,宝安区,"113.808115,22.68409"
113.891326,22.497142,南山区,"113.891326,22.497142"
114.388905,22.75336,坪山区,"114.388905,22.75336"
113.975165,22.58299,南山区,"113.975165,22.58299"
114.136644956,22.5493115524,罗湖区,"114.136644956,22.5493115524"
114.033270015,22.6568484942,龙华区,"114.033270015,22.6568484942"
114.026227,22.645981,龙华区,"114.026227,22.645981"
113.909205,22.586241,宝安区,"113.909205,22.586241"
114.212824,22.655393,龙岗区,"114.212824,22.655393"
114.048434,22.615211,龙华区,"114.048434,22.615211"
114.075296,22.649497,龙岗区,"114.075296,22.649497"
113.936296,22.523262,南山区,"113.936296,22.523262"
113.911482094,22.5798716222,宝安区,"113.911482094,22.5798716222"
114.037308,22.532427,福田区,"114.037308,22.532427"
113.912285,22.575441,宝安区,"113.912285,22.575441"
113.908471488,22.5561930618,宝安区,"113.908471488,22.5561930618"
113.826001,22.745366,宝安区,"113.826001,22.745366"
114.063969301,22.5282664053,福田区,"114.063969301,22.5282664053"
113.933226455,22.5331659337,南山区,"113.933226455,22.5331659337"
114.013394,22.655697,龙华区,"114.013394,22.655697"
113.907471,22.561461,宝安区,"113.907471,22.561461"
113.902668,22.483411,南山区,"113.902668,22.483411"
114.083041,22.625808,龙岗区,"114.083041,22.625808"
113.972004221,22.528065995,南山区,"113.972004221,22.528065995"
113.979887,22.557031,南山区,"113.979887,22.557031"
114.028367229,22.6537484227,龙华区,"114.028367229,22.6537484227"
114.260671701,22.7299587732,龙岗区,"114.260671701,22.7299587732"
113.869206,22.583862,宝安区,"113.869206,22.583862"
113.808995,22.681418,宝安区,"113.808995,22.681418"
114.034306,22.655875,龙华区,"114.034306,22.655875"
114.038848,22.656019,龙华区,"114.038848,22.656019"
114.228306,22.640351,龙岗区,"114.228306,22.640351"
114.042821,22.628935,龙华区,"114.042821,22.628935"
113.902003983,22.5885153737,宝安区,"113.902003983,22.5885153737"
114.055497,22.695923,光明区,"114.055497,22.695923"
114.249488,22.745333,龙岗区,"114.249488,22.745333"
114.043332,22.667554,龙华区,"114.043332,22.667554"
114.163786,22.614385,龙岗区,"114.163786,22.614385"
114.09025,22.536091,福田区,"114.09025,22.536091"
114.038406474,22.6694347456,龙华区,"114.038406474,22.6694347456"
113.893786,22.587838,宝安区,"113.893786,22.587838"
113.937389,22.586106,南山区,"113.937389,22.586106"
114.117220527,22.5965936639,龙岗区,"114.117220527,22.5965936639"
114.031970617,22.5397236833,福田区,"114.031970617,22.5397236833"
113.895391488,22.5541358005,宝安区,"113.895391488,22.5541358005"
113.814819,22.712139,宝安区,"113.814819,22.712139"
114.107671,22.570935,福田区,"114.107671,22.570935"
113.904056,22.574463,宝安区,"113.904056,22.574463"
113.9611,22.553981,南山区,"113.9611,22.553981"
114.04238,22.64989,龙华区,"114.04238,22.64989"
113.89247,22.500598,南山区,"113.89247,22.500598"
113.949362,22.51207,南山区,"113.949362,22.51207"
113.941723,22.49776,南山区,"113.941723,22.49776"
114.28084,22.730784,龙岗区,"114.28084,22.730784"
113.906624,22.580754,宝安区,"113.906624,22.580754"
113.957672,22.547709,南山区,"113.957672,22.547709"
114.053863292,22.5301041711,福田区,"114.053863292,22.5301041711"
114.060013,22.606099,龙华区,"114.060013,22.606099"
114.082994,22.533052,福田区,"114.082994,22.533052"
114.127137,22.539506,罗湖区,"114.127137,22.539506"
114.063071,22.63595,龙岗区,"114.063071,22.63595"
114.001347,22.698309,光明区,"114.001347,22.698309"
113.9611,22.5562,南山区,"113.9611,22.5562"
114.076846,22.541985,福田区,"114.076846,22.541985"
114.049714,22.527604,福田区,"114.049714,22.527604"
114.040931,22.652682,龙华区,"114.040931,22.652682"
113.963237,22.575966,南山区,"113.963237,22.575966"
114.120984,22.54819,罗湖区,"114.120984,22.54819"
114.22597,22.73853,龙岗区,"114.22597,22.73853"
113.946959,22.498091,南山区,"113.946959,22.498091"
114.040931,22.652682,龙华区,"114.040931,22.652682"
113.906502,22.488927,南山区,"113.906502,22.488927"
114.031970617,22.5397236833,福田区,"114.031970617,22.5397236833"
113.975165,22.58299,南山区,"113.975165,22.58299"
114.076737,22.542308,福田区,"114.076737,22.542308"
114.242911,22.721905,龙岗区,"114.242911,22.721905"
114.034306,22.655875,龙华区,"114.034306,22.655875"
114.052,22.602907,龙华区,"114.052,22.602907"
113.935806,22.517818,南山区,"113.935806,22.517818"
113.836528,22.725121,宝安区,"113.836528,22.725121"
114.039009,22.654116,龙华区,"114.039009,22.654116"
113.84002,22.639223,宝安区,"113.84002,22.639223"
113.936734,22.51694,南山区,"113.936734,22.51694"
113.967499,22.585749,南山区,"113.967499,22.585749"
113.868387,22.747352,宝安区,"113.868387,22.747352"
114.077847,22.650988,龙岗区,"114.077847,22.650988"
114.147476515,22.6051792604,龙岗区,"114.147476515,22.6051792604"
114.026974,22.657858,龙华区,"114.026974,22.657858"
114.037684,22.637256,龙华区,"114.037684,22.637256"
113.94862,22.508966,南山区,"113.94862,22.508966"
114.058929356,22.5373132959,福田区,"114.058929356,22.5373132959"
113.946218,22.497863,南山区,"113.946218,22.497863"
114.142381,22.580195,罗湖区,"114.142381,22.580195"
114.089654,22.638192,龙岗区,"114.089654,22.638192"
114.034306,22.655875,龙华区,"114.034306,22.655875"
114.127137,22.539506,罗湖区,"114.127137,22.539506"
114.07779849,22.5355893617,福田区,"114.07779849,22.5355893617"
113.971145,22.569968,南山区,"113.971145,22.569968"
114.215913,22.716854,龙岗区,"114.215913,22.716854"
114.155119,22.609543,龙岗区,"114.155119,22.609543"
114.037133,22.660742,龙华区,"114.037133,22.660742"
113.893807,22.587928,宝安区,"113.893807,22.587928"
114.07425379,22.5294359773,福田区,"114.07425379,22.5294359773"
113.866606,22.592109,宝安区,"113.866606,22.592109"
113.975133,22.582949,南山区,"113.975133,22.582949"
114.066605196,22.5810333403,福田区,"114.066605196,22.5810333403"
114.06705,22.626878,龙岗区,"114.06705,22.626878"
114.143513,22.619713,龙岗区,"114.143513,22.619713"
113.810939,22.675064,宝安区,"113.810939,22.675064"
113.898801,22.590399,宝安区,"113.898801,22.590399"
113.946029,22.500563,南山区,"113.946029,22.500563"
114.07111,22.622521,龙岗区,"114.07111,22.622521"
114.052664,22.561407,福田区,"114.052664,22.561407"
114.063711977,22.5299493409,福田区,"114.063711977,22.5299493409"
114.062132116,22.5323862043,福田区,"114.062132116,22.5323862043"
113.818536,22.745806,宝安区,"113.818536,22.745806"
113.866606,22.592109,宝安区,"113.866606,22.592109"
114.229357,22.693462,龙岗区,"114.229357,22.693462"
114.146726769,22.5743071825,罗湖区,"114.146726769,22.5743071825"
114.215427,22.65573,龙岗区,"114.215427,22.65573"
114.217556,22.64777,龙岗区,"114.217556,22.64777"
113.972004221,22.528065995,南山区,"113.972004221,22.528065995"
114.033453,22.534336,福田区,"114.033453,22.534336"
113.929274711,22.512048167,南山区,"113.929274711,22.512048167"
114.149327,22.675949,龙岗区,"114.149327,22.675949"
113.834167,22.758345,宝安区,"113.834167,22.758345"
114.178250744,22.5679896923,罗湖区,"114.178250744,22.5679896923"
113.913938,22.51396,南山区,"113.913938,22.51396"
113.991743,22.593965,南山区,"113.991743,22.593965"
113.981885,22.62492,南山区,"113.981885,22.62492"
113.926799398,22.5260126358,南山区,"113.926799398,22.5260126358"
114.126227,22.59889,龙岗区,"114.126227,22.59889"
114.116346284,22.6370048983,龙岗区,"114.116346284,22.6370048983"
113.925946,22.487159,南山区,"113.925946,22.487159"
113.865681,22.594158,宝安区,"113.865681,22.594158"
114.240139,22.704719,龙岗区,"114.240139,22.704719"
113.855578,22.600387,宝安区,"113.855578,22.600387"
114.028792251,22.5333359608,福田区,"114.028792251,22.5333359608"
113.814104,22.712216,宝安区,"113.814104,22.712216"
113.933537298,22.5163389505,南山区,"113.933537298,22.5163389505"
114.056288,22.527451,福田区,"114.056288,22.527451"
114.053863292,22.5301041711,福田区,"114.053863292,22.5301041711"
114.045728,22.556647,福田区,"114.045728,22.556647"
113.945634,22.502893,南山区,"113.945634,22.502893"
113.817253,22.681063,宝安区,"113.817253,22.681063"
113.822707,22.70709,宝安区,"113.822707,22.70709"
114.154967,22.625446,龙岗区,"114.154967,22.625446"
114.12485,22.542978,罗湖区,"114.12485,22.542978"
113.862823452,22.6154836815,宝安区,"113.862823452,22.6154836815"
113.935806,22.517818,南山区,"113.935806,22.517818"
114.0573,22.64431,龙华区,"114.0573,22.64431"
113.924871,22.558119,南山区,"113.924871,22.558119"
114.03686306,22.6454484563,龙华区,"114.03686306,22.6454484563"
114.240139,22.704719,龙岗区,"114.240139,22.704719"
114.236719574,22.7068046414,龙岗区,"114.236719574,22.7068046414"
113.966370326,22.5726403828,南山区,"113.966370326,22.5726403828"
114.040931,22.652682,龙华区,"114.040931,22.652682"
114.253391523,22.742361945,龙岗区,"114.253391523,22.742361945"
114.066264,22.638654,龙岗区,"114.066264,22.638654"
114.047403,22.522971,福田区,"114.047403,22.522971"
114.076927412,22.5558028263,福田区,"114.076927412,22.5558028263"
113.856751,22.575561,宝安区,"113.856751,22.575561"
114.315386,22.604955,盐田区,"114.315386,22.604955"
114.072103,22.651831,龙岗区,"114.072103,22.651831"
114.316842,22.710588,龙岗区,"114.316842,22.710588"
114.142782476,22.58743531,罗湖区,"114.142782476,22.58743531"
114.052791803,22.5360669995,福田区,"114.052791803,22.5360669995"
114.226911119,22.7074759392,龙岗区,"114.226911119,22.7074759392"
114.219505,22.679528,龙岗区,"114.219505,22.679528"
113.913618765,22.5679057005,宝安区,"113.913618765,22.5679057005"
113.81334,22.670543,宝安区,"113.81334,22.670543"
113.863654,22.573075,宝安区,"113.863654,22.573075"
114.07151,22.615748,龙岗区,"114.07151,22.615748"
114.124954148,22.551003546,罗湖区,"114.124954148,22.551003546"
114.271529,22.752033,龙岗区,"114.271529,22.752033"
113.958439,22.589722,南山区,"113.958439,22.589722"
114.125223,22.550102,罗湖区,"114.125223,22.550102"
113.872584,22.624522,宝安区,"113.872584,22.624522"
114.141072881,22.5769784984,罗湖区,"114.141072881,22.5769784984"
113.848518,22.604252,宝安区,"113.848518,22.604252"
114.057654,22.608155,龙华区,"114.057654,22.608155"
114.144564,22.630126,龙岗区,"114.144564,22.630126"
113.816163,22.712199,宝安区,"113.816163,22.712199"
114.088342,22.534198,福田区,"114.088342,22.534198"
114.034365688,22.6295346929,龙华区,"114.034365688,22.6295346929"
114.142803,22.604529,龙岗区,"114.142803,22.604529"
